SSN,Name,Rank,Email,PhoneNumber,Landline,licence,Address
1703092540,Agust Birgir Þorsteinsson,Pilot,edlede@gmail.com,8678301,5348301,De Havilland Canada DHC-8-200,Hjallabraut 96
1703092541,John Doe,Pilot,johndoe@gmail.com,8678302,5348302,Airbus A320,123 Main St
1703092542,Jane Smith,Flight Attendant,janesmith@gmail.com,8678303,5348303, ,456 Oak St
1703092543,Bob Johnson,Flight Attendant,bobjohnson@gmail.com,8678304,5348304, ,789 Pine St
1703092544,Alice Williams,Pilot,alicewilliams@gmail.com,8678305,5348305,De Havilland Canada DHC-8-200, 321 Elm St
1703092545,Charlie Brown,Pilot,charliebrown@gmail.com,8678306, ,Airbus A320,654 Maple St
1703092546,David Davis,Flight Attendant,daviddavis@gmail.com,8678307,5348307, ,987 Birch St
1703092547,Emily Evans,Flight Attendant,emilyevans@gmail.com,8678308,5348308, ,123 Cherry St
1703092548,Frank Foster,Pilot,frankfoster@gmail.com,8678309, ,De Havilland Canada DHC-8-200,456 Dogwood St
1703092549,Grace Green,Pilot,gracegreen@gmail.com,8678310,5348310,Airbus A320,789 Fir St
1703092550,Harry Hall,Flight Attendant,harryhall@gmail.com,8678311, , ,321 Grove St
1703092551,Irene Ivy,Flight Attendant,ireneivy@gmail.com,8678312,5348312, ,654 Hickory St
1703092552,Jack Jackson,Pilot,jackjackson@gmail.com,8678313, ,De Havilland Canada DHC-8-200, 987 Ivy St
1703092553,Karen King,Pilot,karenking@gmail.com,8678314,5348314,Airbus A320,123 Jasmine St
1703092554,Larry Love,Flight Attendant,larrylove@gmail.com,8678315, , ,456 Kalmia St
1703092555,Molly Moon,Flight Attendant,mollymoon@gmail.com,8678316,5348316, ,789 Lilac St
1703092556,Ned Nash,Flight Attendant,nednash@gmail.com,8678317, , ,321 Magnolia St
1703092557,Olive Oak,Pilot,oliveoak@gmail.com,8678318,5348318,Airbus A320,654 Nectarine St
1703092558,Peter Piper,Pilot,peterpiper@gmail.com,8678319, ,Boeing 737,987 Olive St
1703092559,Queenie Quail,Pilot,queeniequail@gmail.com,8678320,5348320,Bombardier CRJ200,123 Peach,
1234567890,As,Pilot,1234567,0987654, ,De Havilland Canada DHC-8-200,Asd

