FlightID,VoyageID,FlightNumber,DepartureDate,DepartureTime,ArrivalDate,ArrivalTime,FromDestination,ToDestination,AirplaneName,CaptainSSN,PilotSSN,Flight_service_managerSSN,Flight_AttendantSSN
1,1,NA20,01/01/2024,10:00,01/01/2024,14:00,Reykjavik,Nuuk,Esja,1703092540,1703092541,1703092542,1703092543
2,1,NA21,10/01/2024,10:00,10/01/2024,14:00,Nuuk,Reykjavik,Esja,1703092540,1703092541,1703092542,1703092543
3,2,NA22,01/02/2024,10:00,01/02/2024,14:00,Reykjavik,Kulusuk,Hekla,1703092544,1703092545,1703092546,1703092547
4,2,NA23,10/02/2024,10:00,10/02/2024,14:00,Kulusuk,Reykjavik,Hekla,1703092544,1703092545,1703092546,1703092547
5,3,NA24,01/03/2024,10:00,01/03/2024,14:00,Reykjavik,Þórshöfn,Katla,1703092548,1703092549,1703092550,1703092551
6,3,NA25,10/03/2024,10:00,10/03/2024,14:00,Þórshöfn,Reykjavik,Katla,1703092548,1703092549,1703092550,1703092551
7,4,NA26,01/04/2024,10:00,01/04/2024,14:00,Reykjavik,Vestmannaeyjar,Baula,1703092552,1703092553,1703092554,1703092555
8,4,NA27,10/04/2024,10:00,10/04/2024,14:00,Vestmannaeyjar,Reykjavik,Baula,1703092552,1703092553,1703092554,1703092555
9,5,NA28,01/05/2024,10:00,01/05/2024,14:00,Reykjavik,Egilsstaðir,Skjaldbreidur,1703092556,1703092557,1703092558,1703092559
10,5,NA29,10/05/2024,10:00,10/05/2024,14:00,Egilsstaðir,Reykjavik,Skjaldbreidur,1703092556,1703092557,1703092558,1703092559
11,6,NA30,01/06/2024,10:00,01/06/2024,14:00,Reykjavik,Höfn,Hofsjokull,1703092540,1703092541,1703092542,1703092543
12,6,NA31,10/06/2024,10:00,10/06/2024,14:00,Höfn,Reykjavik,Hofsjokull,1703092540,1703092541,1703092542,1703092543
13,7,NA32,01/07/2024,10:00,01/07/2024,14:00,Reykjavik,Akureyri,Kerling,1703092544,1703092545,1703092546,1703092547
14,7,NA33,10/07/2024,10:00,10/07/2024,14:00,Akureyri,Reykjavik,Kerling,1703092544,1703092545,1703092546,1703092547
15,8,NA34,01/08/2024,10:00,01/08/2024,14:00,Reykjavik,Ísafjörður,Lómagnúpur,1703092548,1703092549,1703092550,1703092551
16,8,NA35,10/08/2024,10:00,10/08/2024,14:00,Ísafjörður,Reykjavik,Lómagnúpur,1703092548,1703092549,1703092550,1703092551
17,9,NA36,01/09/2024,10:00,01/09/2024,14:00,Reykjavik,Vestmannaeyjar,Bláfjall,1703092552,1703092553,1703092554,1703092555
18,9,NA37,10/09/2024,10:00,10/09/2024,14:00,Vestmannaeyjar,Reykjavik,Bláfjall,1703092552,1703092553,1703092554,1703092555
